MiniLab	20-Oct-15	4:42:00 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
22478.985	35.535	153.472	719.715	693.412	490.520	0.863	107.820	106.667	11.499	8.372	23.482	64977.987	51.709
22479.185	35.525	153.406	719.859	693.409	490.629	0.878	107.808	106.653	11.432	8.375	23.477	64968.992	52.027
22479.385	35.490	153.458	719.734	693.412	490.368	0.868	107.848	106.827	11.527	8.339	23.488	64970.485	51.813
22479.587	35.541	153.468	719.257	693.407	490.788	0.876	107.829	106.616	11.490	8.392	23.482	64967.942	52.586
22479.789	35.576	153.518	719.796	693.492	490.234	0.887	107.901	106.692	11.491	8.352	23.486	64971.076	52.049
22479.991	35.554	153.463	719.577	693.560	490.430	0.893	107.831	106.740	11.456	8.336	23.481	64973.463	52.290
22480.191	35.532	153.498	720.435	693.724	490.192	0.867	107.959	106.815	11.505	8.358	23.471	64974.609	52.247
22480.391	35.577	153.492	720.469	693.839	490.594	0.885	107.987	106.818	11.479	8.340	23.483	64973.352	51.907
22480.591	35.625	153.562	720.304	693.937	489.641	0.869	107.876	106.699	11.446	8.369	23.486	64985.954	51.770
22480.791	35.589	153.556	720.616	694.008	490.492	0.884	107.921	106.711	11.449	8.395	23.476	64984.683	51.578
22480.991	35.562	153.434	720.428	694.044	490.689	0.903	107.904	106.736	11.441	8.337	23.481	64986.183	52.027
22481.191	35.625	153.577	720.486	694.019	490.264	0.885	107.846	106.685	11.493	8.371	23.467	64994.875	52.252
22481.391	35.595	153.550	720.788	694.151	489.803	0.889	107.807	106.705	11.438	8.366	23.475	64996.272	51.676
22481.591	35.668	153.541	721.241	694.117	490.007	0.876	107.961	106.862	11.464	8.381	23.472	65024.550	52.976
22481.791	35.694	153.570	721.056	694.029	490.794	0.888	107.985	106.724	11.469	8.416	23.471	65026.908	52.729
22481.991	35.699	153.614	721.093	694.145	490.107	0.899	107.957	106.799	11.431	8.364	23.465	65031.401	51.989
22482.191	35.712	153.585	721.780	693.993	490.338	0.882	107.977	106.779	11.532	8.361	23.469	65031.002	52.493
22482.391	35.699	153.598	721.925	694.039	490.032	0.874	107.874	106.885	11.411	8.394	23.472	65032.126	52.318
22482.591	35.712	153.671	720.874	693.959	490.665	0.911	108.034	106.877	11.502	8.380	23.461	65033.596	51.978
22482.791	35.695	153.504	721.395	693.935	490.315	0.895	108.010	106.768	11.435	8.377	23.462	65031.970	52.285
22482.991	35.695	153.593	721.793	694.160	490.824	0.902	107.879	106.725	11.420	8.366	23.454	65033.515	51.874
22483.191	35.768	153.637	721.630	694.165	490.364	0.885	107.933	106.773	11.544	8.361	23.458	65030.455	51.830
22483.391	35.714	153.613	721.238	694.191	490.281	0.914	108.006	106.787	11.415	8.410	23.465	65028.038	52.049
22483.591	35.770	153.628	722.057	694.167	490.009	0.875	107.935	106.733	11.494	8.403	23.458	65029.169	52.318
22483.791	35.679	153.735	722.392	694.244	489.813	0.897	108.175	107.015	11.588	8.381	23.464	65028.999	51.907
22483.991	35.810	153.612	723.003	694.262	490.047	0.879	107.954	106.881	11.447	8.354	23.465	65028.157	52.773
22484.190	35.873	153.666	722.912	694.379	490.064	0.883	108.039	106.856	11.460	8.357	23.472	65024.195	52.098
22484.390	35.816	153.577	722.874	694.366	490.018	0.901	107.937	106.827	11.535	8.361	23.471	65023.596	52.109
22484.593	35.799	153.588	723.424	694.365	490.027	0.865	108.038	106.817	11.460	8.381	23.470	65026.132	51.857
22484.793	35.801	153.564	722.827	694.237	490.000	0.876	107.976	106.868	11.541	8.378	23.476	65020.773	51.868
22484.993	35.908	153.672	722.973	694.165	490.329	0.889	107.910	106.749	11.416	8.392	23.470	65019.576	51.495
22485.193	35.962	153.596	722.738	693.991	490.309	0.874	108.041	106.941	11.517	8.359	23.478	65019.953	52.263
22485.394	35.959	153.613	722.711	693.903	490.250	0.891	107.986	106.858	11.509	8.381	23.477	65019.007	52.011
22485.594	35.855	153.712	721.641	693.854	490.428	0.870	107.954	106.742	11.467	8.373	23.471	65019.036	51.923
22485.794	35.881	153.774	721.740	693.800	489.884	0.886	107.939	106.768	11.495	8.337	23.482	65024.565	51.813
22485.997	35.882	153.696	721.701	693.784	489.994	0.890	107.934	106.793	11.543	8.366	23.474	65023.892	52.104
22486.197	35.896	153.770	721.829	693.647	490.176	0.888	107.881	106.747	11.486	8.329	23.482	65023.656	51.956
22486.400	35.835	153.713	721.804	693.553	489.999	0.889	107.949	106.783	11.495	8.334	23.490	65023.190	52.126
22486.600	35.839	153.777	721.304	693.600	490.248	0.885	107.904	106.722	11.379	8.358	23.484	65024.365	52.219
22486.800	35.825	153.691	721.296	693.448	489.809	0.880	107.915	106.700	11.522	8.381	23.487	65021.261	52.367
22487.000	35.808	153.662	721.455	693.417	489.980	0.879	107.929	106.862	11.437	8.443	23.486	65022.451	51.797
22487.200	35.805	153.694	720.931	693.347	490.100	0.880	108.044	106.916	11.566	8.392	23.487	65024.269	51.868
22487.400	35.794	153.748	720.703	693.258	490.124	0.874	108.015	106.940	11.571	8.349	23.487	65019.797	52.203
22487.600	35.780	153.756	721.049	693.210	490.188	0.895	108.035	106.805	11.470	8.345	23.475	65021.601	51.934
22487.800	35.804	153.722	720.770	693.108	490.057	0.890	108.042	106.904	11.522	8.364	23.477	65020.197	52.071
22488.000	35.810	153.732	721.314	693.092	489.793	0.890	108.030	106.826	11.526	8.403	23.473	65021.120	51.775
