MiniLab	20-Oct-15	4:38:12 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
22252.845	33.731	117.735	669.546	692.517	473.389	0.563	70.912	69.639	7.740	5.640	19.511	55066.797	34.296
22253.045	33.835	117.815	669.640	692.702	473.320	0.539	70.931	69.741	7.680	5.674	19.524	55073.471	34.515
22253.245	33.715	117.730	669.341	692.777	473.467	0.561	71.056	69.854	7.655	5.656	19.527	55074.343	34.455
22253.447	33.772	117.827	670.227	692.751	473.309	0.557	71.144	69.866	7.710	5.600	19.525	55072.710	35.414
22253.649	33.779	117.807	669.510	692.888	472.825	0.554	71.086	69.934	7.721	5.624	19.528	55080.382	34.038
22253.851	33.752	117.763	670.197	692.978	473.293	0.535	71.243	70.018	7.695	5.623	19.527	55079.428	34.214
22254.051	33.739	117.791	670.174	693.000	473.318	0.569	71.122	69.877	7.661	5.655	19.523	55079.658	34.296
22254.251	33.891	117.963	670.001	693.116	473.412	0.562	71.070	69.897	7.685	5.657	19.527	55090.737	34.466
22254.451	33.813	117.866	670.662	693.041	473.312	0.558	71.136	69.913	7.670	5.680	19.529	55088.527	34.515
22254.651	33.783	117.925	669.965	693.093	473.014	0.560	71.152	69.878	7.674	5.723	19.524	55129.111	34.504
22254.851	33.786	117.966	670.377	693.015	473.189	0.566	71.282	70.015	7.666	5.685	19.523	55129.052	34.104
22255.051	33.838	117.954	670.133	692.853	473.925	0.557	71.249	69.962	7.733	5.658	19.512	55129.185	34.981
22255.251	33.782	117.985	669.601	692.731	473.457	0.564	71.318	70.042	7.676	5.695	19.515	55132.370	34.811
22255.451	33.812	118.071	669.185	692.580	473.475	0.572	71.312	70.132	7.701	5.712	19.518	55132.511	34.740
22255.651	33.798	118.003	669.926	692.369	473.225	0.549	71.283	70.099	7.700	5.666	19.517	55132.932	34.773
22255.851	33.778	118.055	670.024	692.191	473.160	0.566	71.271	70.139	7.670	5.673	19.513	55135.556	34.932
22256.051	33.739	118.093	669.280	692.030	473.668	0.564	71.260	69.987	7.687	5.685	19.508	55134.735	34.378
22256.251	33.781	118.080	668.980	691.767	473.340	0.575	71.278	70.042	7.710	5.649	19.512	55138.216	34.400
