MiniLab	20-Oct-15	4:35:08 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
22065.583	33.427	95.407	607.193	664.351	476.839	0.332	43.508	42.484	4.899	3.541	14.832	44993.091	22.552
22065.783	33.459	95.397	607.236	664.293	476.270	0.334	43.541	42.517	4.891	3.525	14.831	44994.200	22.864
22065.983	33.431	95.441	607.110	664.192	476.626	0.330	43.446	42.497	4.882	3.543	14.831	44994.858	22.754
22066.183	33.424	95.464	606.808	664.185	476.029	0.329	43.514	42.472	4.917	3.589	14.824	44998.317	22.151
22066.383	33.447	95.509	606.655	664.248	476.217	0.338	43.590	42.527	4.915	3.542	14.826	45001.946	22.190
22066.585	33.424	95.587	606.418	664.330	476.745	0.336	43.506	42.496	4.915	3.566	14.831	45001.355	22.338
22066.787	33.446	95.589	606.355	664.285	476.804	0.327	43.513	42.475	4.934	3.536	14.832	45000.002	22.760
22066.989	33.396	95.549	606.242	664.259	476.418	0.337	43.531	42.506	4.923	3.530	14.840	45005.486	22.354
22067.189	33.378	95.541	607.058	664.211	476.651	0.334	43.501	42.491	4.915	3.553	14.815	45002.567	22.557
22067.391	33.360	95.546	606.690	664.297	476.058	0.322	43.593	42.562	4.894	3.549	14.820	45004.629	22.519
22067.591	33.413	95.643	606.392	664.385	476.537	0.331	43.579	42.533	4.923	3.554	14.805	45006.935	22.365
22067.791	33.438	95.658	606.749	664.292	476.383	0.328	43.647	42.647	4.906	3.578	14.813	45004.673	23.281
22067.991	33.393	95.652	606.255	664.371	476.454	0.339	43.537	42.510	4.884	3.545	14.828	45009.795	22.469
22068.191	33.441	95.628	606.964	664.223	476.205	0.327	43.566	42.586	4.946	3.513	14.844	45006.920	22.842
22068.391	33.417	95.702	606.520	664.164	476.159	0.332	43.542	42.475	4.917	3.536	14.827	45006.913	22.645
22068.591	33.325	95.650	607.020	664.177	476.269	0.334	43.561	42.544	4.904	3.543	14.844	45013.483	22.694
22068.791	33.356	95.703	606.414	664.259	475.760	0.340	43.543	42.469	4.929	3.581	14.820	45015.390	22.108
22068.991	33.400	95.700	606.536	664.251	476.719	0.339	43.627	42.627	4.945	3.515	14.813	45030.224	22.957
22069.191	33.322	95.635	606.396	664.258	476.773	0.336	43.581	42.570	4.932	3.556	14.831	45034.326	22.733
22069.391	33.362	95.704	606.158	664.385	476.069	0.325	43.567	42.542	4.925	3.550	14.804	45036.173	22.299
22069.593	33.391	95.684	606.924	664.483	475.850	0.327	43.562	42.590	4.926	3.575	14.813	45039.285	22.376
22069.793	33.370	95.742	607.383	664.562	476.554	0.331	43.586	42.588	4.911	3.530	14.819	45040.298	22.458
22069.995	33.431	95.752	606.646	664.647	476.059	0.332	43.590	42.578	4.924	3.577	14.823	45040.911	22.491
22070.197	33.345	95.768	606.210	664.793	476.043	0.335	43.628	42.659	4.935	3.568	14.832	45042.064	22.140
22070.397	33.440	95.776	607.297	664.871	476.150	0.326	43.543	42.534	4.867	3.554	14.830	45042.944	22.738
22070.598	33.425	95.753	607.279	664.835	475.872	0.330	43.596	42.579	4.893	3.558	14.835	45046.277	23.177
22070.800	33.440	95.750	606.850	664.789	475.839	0.331	43.608	42.634	4.923	3.555	14.822	45046.462	23.182
22071.002	33.430	95.750	607.081	664.848	475.840	0.325	43.632	42.649	4.934	3.535	14.814	45047.511	22.848
22071.202	33.489	95.869	606.573	664.845	475.611	0.326	43.604	42.588	4.916	3.564	14.815	45053.239	22.908
22071.404	33.486	95.880	607.004	664.814	476.073	0.324	43.704	42.730	4.933	3.563	14.809	45052.234	23.380
