MiniLab	20-Oct-15	4:36:47 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
22165.446	33.962	104.687	649.612	678.129	470.041	0.417	55.774	54.649	6.241	4.564	17.243	50049.410	27.387
22165.646	34.019	104.741	649.907	678.172	469.354	0.425	55.764	54.643	6.174	4.576	17.231	50049.573	27.294
22165.846	34.026	104.782	649.395	678.203	469.843	0.421	55.861	54.702	6.210	4.541	17.228	50047.599	28.204
22166.048	33.973	104.763	649.553	678.166	469.535	0.424	55.829	54.709	6.248	4.525	17.218	50050.312	27.908
22166.248	34.034	104.840	649.069	678.181	469.907	0.432	55.865	54.731	6.210	4.567	17.218	50050.763	28.210
22166.450	33.951	104.846	649.358	678.248	469.018	0.425	55.803	54.702	6.226	4.523	17.207	50052.507	27.684
22166.650	34.049	104.898	649.130	678.225	469.543	0.422	55.821	54.719	6.276	4.567	17.212	50066.720	27.662
22166.852	34.026	104.874	649.388	678.238	469.751	0.417	55.757	54.609	6.233	4.541	17.216	50069.669	27.514
22167.052	34.018	104.848	649.311	678.123	469.547	0.417	55.807	54.699	6.243	4.586	17.216	50069.321	27.492
22167.253	34.053	104.796	649.110	678.019	469.509	0.421	55.739	54.610	6.197	4.572	17.220	50064.473	28.495
22167.455	34.098	104.960	649.275	677.984	469.778	0.414	55.749	54.636	6.207	4.576	17.221	50066.749	27.716
22167.657	34.027	104.878	649.671	677.951	469.505	0.424	55.709	54.626	6.230	4.563	17.220	50065.648	27.218
22167.857	34.074	104.869	649.116	677.792	469.780	0.428	55.839	54.678	6.235	4.533	17.235	50064.007	27.497
22168.057	34.083	104.959	649.117	677.801	469.077	0.424	55.803	54.606	6.221	4.558	17.229	50064.207	27.749
22168.259	34.106	104.994	649.389	677.800	469.470	0.429	55.810	54.642	6.200	4.572	17.230	50061.620	28.095
22168.459	34.109	104.999	649.135	677.772	469.265	0.442	55.753	54.602	6.178	4.546	17.229	50060.836	27.826
22168.661	34.065	105.024	649.854	677.754	469.726	0.444	55.739	54.573	6.235	4.553	17.223	50063.882	27.168
22168.861	34.048	105.056	649.430	677.734	470.014	0.435	55.818	54.676	6.219	4.514	17.213	50063.416	27.684
22169.061	34.047	105.004	649.339	677.653	469.298	0.435	55.744	54.673	6.250	4.605	17.221	50062.344	27.256
22169.261	34.064	105.076	649.115	677.538	468.858	0.421	55.825	54.655	6.205	4.513	17.214	50059.942	27.854
22169.460	34.045	105.147	649.809	677.598	469.351	0.420	55.772	54.603	6.234	4.591	17.218	50061.686	27.382
22169.660	34.027	105.076	649.191	677.539	468.970	0.412	55.776	54.657	6.232	4.563	17.213	50060.334	27.755
22169.862	34.005	105.048	649.315	677.547	468.866	0.419	55.803	54.676	6.188	4.530	17.217	50062.972	27.377
22170.062	34.030	105.081	648.457	677.334	469.346	0.412	55.710	54.602	6.202	4.571	17.218	50061.576	27.788
22170.262	34.026	105.162	649.198	677.283	469.417	0.417	55.745	54.569	6.166	4.526	17.229	50060.275	27.536
22170.462	34.004	105.120	649.022	677.176	469.096	0.418	55.845	54.767	6.239	4.519	17.227	50059.506	27.760
22170.662	34.025	105.159	649.489	677.145	469.108	0.422	55.856	54.704	6.215	4.615	17.233	50060.615	27.969
22170.862	34.013	105.192	649.523	677.122	469.630	0.416	55.837	54.741	6.249	4.587	17.233	50060.593	28.051
22171.062	33.965	105.186	648.755	677.139	469.110	0.420	55.832	54.730	6.228	4.543	17.231	50060.910	27.256
22171.264	33.978	105.226	648.755	677.007	469.055	0.428	55.835	54.658	6.231	4.578	17.223	50060.023	28.298
22171.464	33.917	105.167	648.983	677.020	469.659	0.435	55.821	54.701	6.226	4.577	17.212	50058.752	27.486
22171.664	33.917	105.224	648.770	676.929	469.424	0.445	55.787	54.695	6.194	4.561	17.218	50060.179	27.832
22171.864	33.831	105.190	648.677	676.887	469.558	0.436	55.758	54.601	6.237	4.566	17.214	50058.242	27.525
22172.064	33.886	105.244	648.443	676.734	469.185	0.427	55.779	54.646	6.247	4.553	17.209	50057.466	27.705
