MiniLab	10-Dec-12	5:31:20 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
17159.132	33.172	163.341	639.605	601.514	612.331	1.009	115.017	114.616	12.143	0.949	22.125	65103.810	4.694
17159.332	33.236	163.364	640.168	601.653	612.248	0.999	114.996	114.557	12.251	0.939	22.139	65105.798	4.897
17159.532	33.206	163.430	640.021	601.686	612.034	0.800	114.976	114.530	12.160	0.957	22.137	65103.330	4.678
17159.739	33.228	163.399	640.828	601.728	612.170	0.812	115.159	114.752	12.111	0.957	22.120	65105.148	4.519
17159.939	33.220	163.327	640.201	601.655	611.867	0.842	115.013	114.529	12.098	0.961	22.133	65105.273	4.629
17160.139	33.167	163.357	640.231	601.608	612.481	0.902	115.172	114.732	12.191	0.960	22.137	65109.191	4.080
17160.340	33.201	163.407	640.153	601.567	612.024	0.808	115.009	114.672	12.194	0.950	22.127	65107.779	4.223
17160.539	33.187	163.398	640.590	601.535	611.462	0.999	115.016	114.659	12.138	0.960	22.132	65109.294	4.201
17160.740	33.150	163.292	640.207	601.577	612.178	0.824	115.021	114.618	12.118	0.965	22.142	65108.718	4.245
17160.940	33.207	163.391	640.171	601.627	611.941	0.978	115.040	114.608	12.148	0.953	22.121	65108.599	4.217
17161.140	33.187	163.426	640.225	601.581	611.723	1.002	115.134	114.732	12.202	0.956	22.124	65112.849	5.210
17161.341	33.211	163.390	639.808	601.667	612.418	0.937	115.113	114.704	12.214	0.945	22.136	65112.236	4.804
17161.541	33.222	163.493	639.890	601.646	612.425	0.886	115.107	114.653	12.152	0.965	22.128	65112.191	4.173
17161.741	33.221	163.411	639.954	601.570	612.096	0.840	115.035	114.624	12.178	0.961	22.124	65113.300	4.788
17161.958	33.232	163.387	640.209	601.674	612.144	0.882	115.121	114.759	12.228	0.950	22.142	65115.089	4.135
17162.158	33.229	163.468	640.923	601.667	612.128	0.901	115.082	114.664	12.130	0.948	22.131	65119.021	4.409
17162.359	33.242	163.462	640.336	601.632	612.003	0.883	115.105	114.634	12.237	0.962	22.120	65116.966	4.475
17162.559	33.229	163.523	640.647	601.580	612.188	0.836	114.964	114.649	12.200	0.944	22.140	65117.823	4.294
17162.759	33.223	163.421	641.406	601.560	612.643	0.954	115.119	114.656	12.184	0.965	22.137	65121.245	4.552
17162.959	33.263	163.438	640.265	601.543	612.609	0.697	115.083	114.657	12.252	0.952	22.123	65121.260	5.045
17163.159	33.260	163.555	640.983	601.616	612.088	0.820	115.152	114.709	12.142	0.966	22.134	65123.869	4.678
17163.359	33.281	163.552	641.330	601.683	612.078	0.995	115.043	114.674	12.231	0.952	22.129	65123.781	4.683
