MiniLab	10-Dec-12	5:25:39 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
16809.934	26.334	149.647	661.698	627.221	617.509	0.773	114.030	113.700	11.683	0.882	22.164	65033.352	23.917
16810.134	26.304	149.691	661.641	627.173	616.907	0.790	114.029	113.682	11.808	0.875	22.168	65029.885	23.933
16810.334	26.339	149.756	661.813	627.087	617.860	0.769	113.970	113.617	11.705	0.880	22.176	65030.122	23.923
16810.535	26.331	149.760	661.382	627.089	616.899	0.795	113.873	113.512	11.675	0.872	22.152	65029.198	23.758
16810.736	26.341	149.786	661.629	627.100	618.391	0.800	113.995	113.608	11.602	0.869	22.160	65028.326	23.961
16810.937	26.324	149.866	661.486	627.292	617.696	0.795	114.008	113.641	11.672	0.877	22.170	65029.257	24.454
16811.137	26.313	149.833	661.587	627.494	616.983	0.808	114.066	113.638	11.689	0.872	22.154	65030.137	23.594
16811.338	26.329	149.898	661.219	627.681	617.784	0.811	113.951	113.656	11.730	0.868	22.167	65029.516	24.098
16811.538	26.368	149.992	661.163	627.846	617.880	0.796	113.994	113.645	11.659	0.887	22.172	65030.639	24.312
16811.740	26.382	150.032	660.923	627.888	617.884	0.818	114.006	113.641	11.634	0.888	22.150	65030.610	24.575
16811.952	26.379	150.004	660.501	627.760	618.070	0.801	114.036	113.714	11.660	0.898	22.158	65030.558	24.230
16812.152	26.410	150.077	660.269	627.610	618.216	0.794	114.020	113.739	11.696	0.874	22.173	65030.307	24.334
16812.352	26.378	150.059	660.603	627.571	618.124	0.793	114.142	113.748	11.739	0.889	22.151	65029.834	24.164
16812.552	26.414	150.065	660.518	627.510	618.162	0.774	114.045	113.699	11.678	0.868	22.169	65028.681	23.944
16812.752	26.418	150.177	660.337	627.463	618.126	0.786	114.080	113.632	11.716	0.871	22.176	65031.001	23.950
16812.952	26.429	150.188	660.657	627.432	618.264	0.795	114.054	113.670	11.782	0.890	22.158	65029.072	24.548
16813.152	26.465	150.245	660.053	627.439	618.818	0.787	114.105	113.796	11.792	0.884	22.161	65028.984	24.630
16813.352	26.447	150.248	660.663	627.435	618.235	0.798	113.970	113.652	11.686	0.873	22.169	65032.095	24.164
