MiniLab	10-Dec-12	5:21:43 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
16573.352	24.704	115.475	570.153	570.649	584.417	0.506	72.547	72.056	7.783	0.651	16.155	54993.005	8.801
16573.552	24.706	115.442	570.023	570.508	584.563	0.503	72.525	72.006	7.755	0.643	16.158	54994.424	8.653
16573.752	24.673	115.467	569.900	570.327	583.625	0.518	72.542	72.062	7.845	0.642	16.148	54993.641	8.582
16573.958	24.633	115.491	569.628	570.161	584.065	0.514	72.601	72.079	7.809	0.640	16.136	54993.936	8.439
16574.168	24.653	115.515	569.421	570.007	583.669	0.510	72.431	71.970	7.786	0.652	16.157	54997.595	8.291
16574.377	24.650	115.509	569.196	569.847	584.029	0.506	72.563	72.038	7.763	0.644	16.149	54997.366	8.834
16574.588	24.669	115.511	568.744	569.748	584.251	0.518	72.547	71.932	7.802	0.647	16.143	54998.363	9.168
16574.798	24.642	115.514	569.146	569.704	584.311	0.513	72.453	71.920	7.775	0.655	16.141	54999.435	8.554
16575.008	24.628	115.569	569.250	569.613	583.981	0.524	72.453	71.928	7.743	0.658	16.138	54998.999	8.850
16575.218	24.641	115.635	569.575	569.480	583.634	0.494	72.524	72.004	7.769	0.651	16.149	55002.251	8.801
16575.427	24.631	115.625	569.521	569.398	584.086	0.511	72.382	71.950	7.816	0.647	16.150	55000.677	8.795
16575.636	24.653	115.643	569.469	569.370	584.342	0.514	72.371	71.800	7.741	0.650	16.138	55001.142	9.053
16575.846	24.625	115.642	569.498	569.333	583.507	0.507	72.387	71.903	7.797	0.648	16.131	55001.179	8.702
16576.056	24.645	115.560	569.644	569.376	584.088	0.506	72.413	71.901	7.726	0.646	16.158	54999.176	8.730
16576.260	24.647	115.658	569.301	569.526	583.585	0.516	72.410	71.817	7.782	0.655	16.148	55001.224	9.015
16576.474	24.665	115.695	569.787	569.594	583.765	0.506	72.379	71.894	7.787	0.650	16.134	55003.463	8.472
16576.682	24.673	115.680	569.721	569.577	583.734	0.498	72.474	71.837	7.708	0.635	16.146	54999.960	9.042
16576.895	24.658	115.693	569.543	569.641	584.013	0.513	72.291	71.793	7.776	0.662	16.135	54999.206	8.812
16577.102	24.668	115.726	569.037	569.647	583.935	0.504	72.480	71.877	7.740	0.643	16.149	55001.172	8.905
16577.315	24.666	115.751	569.297	569.700	584.070	0.496	72.451	71.920	7.679	0.671	16.157	54998.437	8.477
16577.526	24.659	115.724	569.525	569.663	583.590	0.505	72.411	71.885	7.772	0.648	16.142	54995.821	8.795
16577.736	24.673	115.831	568.857	569.577	583.536	0.510	72.436	71.890	7.724	0.646	16.136	55001.874	8.598
16577.946	24.688	115.765	568.617	569.468	584.386	0.497	72.466	71.886	7.717	0.658	16.152	55001.305	8.774
16578.157	24.670	115.851	569.143	569.470	584.578	0.506	72.419	71.921	7.750	0.642	16.139	55001.438	8.790
16578.366	24.697	115.840	569.000	569.555	583.837	0.511	72.381	71.869	7.732	0.655	16.140	55001.342	8.746
16578.575	24.678	115.873	569.450	569.475	584.230	0.514	72.396	71.846	7.748	0.651	16.150	55002.295	8.642
16578.780	24.670	115.851	569.148	569.464	583.649	0.509	72.413	71.863	7.804	0.661	16.132	55001.320	8.401
16578.993	24.654	115.922	568.970	569.355	583.797	0.509	72.451	71.913	7.682	0.650	16.153	55000.492	8.527
16579.204	24.634	115.931	569.546	569.300	583.371	0.506	72.392	71.919	7.756	0.654	16.157	55000.559	9.064
16579.412	24.620	115.939	569.381	569.322	583.722	0.493	72.505	71.969	7.729	0.661	16.141	54999.406	8.571
16579.622	24.606	115.859	569.371	569.373	583.335	0.504	72.497	71.992	7.803	0.638	16.125	55001.172	8.494
16579.832	24.598	115.914	569.216	569.349	583.949	0.499	72.497	72.007	7.781	0.656	16.143	55000.699	8.768
16580.055	24.602	115.920	568.815	569.405	583.285	0.510	72.344	71.842	7.773	0.647	16.137	54999.516	8.626
16580.259	24.611	115.911	569.044	569.443	583.689	0.510	72.441	71.925	7.701	0.645	16.137	55000.204	8.653
16580.466	24.575	115.947	568.776	569.533	582.996	0.512	72.481	71.963	7.689	0.655	16.148	55000.366	8.631
16580.668	24.572	115.967	569.918	569.584	583.014	0.515	72.387	71.856	7.725	0.656	16.139	55000.559	8.368
16580.868	24.605	115.920	569.133	569.667	583.845	0.509	72.355	71.808	7.775	0.668	16.135	54999.502	9.103
16581.070	24.620	116.045	569.676	569.793	583.491	0.507	72.405	71.868	7.755	0.637	16.153	55001.305	8.335
16581.278	24.633	116.014	569.933	569.855	582.921	0.500	72.375	71.853	7.738	0.659	16.135	54999.398	8.812
16581.487	24.640	116.023	569.332	569.949	583.105	0.507	72.382	71.842	7.716	0.647	16.127	54999.236	8.456
16581.696	24.670	116.056	568.756	569.943	583.148	0.484	72.489	71.887	7.789	0.649	16.154	54999.169	8.412
16581.898	24.683	116.090	569.672	569.931	582.819	0.548	72.457	71.915	7.732	0.649	16.143	55000.248	9.015
16582.114	24.669	116.118	569.184	570.076	583.151	0.516	72.444	71.882	7.738	0.646	16.147	55001.874	8.669
16582.323	24.698	116.135	569.464	570.020	582.948	0.504	72.382	71.831	7.770	0.649	16.137	55000.566	8.735
16582.523	24.690	116.092	569.113	570.067	583.490	0.513	72.382	71.836	7.738	0.651	16.149	54997.218	8.609
16582.724	24.721	116.160	569.258	570.126	583.198	0.501	72.373	71.843	7.783	0.649	16.138	54995.688	8.757
16582.925	24.720	116.146	569.319	570.247	583.576	0.513	72.335	71.866	7.717	0.650	16.153	54994.217	8.297
16583.129	24.731	116.168	569.476	570.278	583.182	0.500	72.414	71.885	7.765	0.645	16.136	54993.685	8.806
16583.343	24.739	116.169	569.216	570.307	583.275	0.498	72.426	71.916	7.790	0.656	16.141	54994.417	8.834
16583.542	24.765	116.215	569.240	570.197	583.278	0.496	72.438	71.873	7.818	0.643	16.142	54997.336	8.801
16583.743	24.768	116.206	569.156	570.160	583.112	0.509	72.486	71.940	7.786	0.643	16.137	54996.486	9.009
16583.948	24.794	116.208	569.076	570.045	582.920	0.517	72.510	71.984	7.842	0.653	16.141	54995.459	8.976
16584.157	24.793	116.219	569.329	569.952	582.972	0.513	72.476	71.896	7.816	0.662	16.139	54995.703	8.593
16584.368	24.763	116.248	569.098	569.958	583.207	0.517	72.520	72.019	7.821	0.667	16.144	54995.577	8.828
16584.578	24.791	116.236	569.474	569.964	582.935	0.510	72.451	71.948	7.772	0.662	16.146	54998.962	8.329
16584.788	24.793	116.245	569.346	569.982	583.273	0.507	72.535	72.006	7.756	0.644	16.146	54999.879	8.669
16584.999	24.798	116.287	569.159	569.958	583.378	0.505	72.592	72.034	7.795	0.650	16.138	54998.423	8.669
16585.208	24.772	116.284	569.610	569.758	582.845	0.509	72.512	71.939	7.743	0.657	16.150	54998.408	8.505
16585.419	24.783	116.246	569.663	569.712	583.291	0.510	72.433	71.915	7.841	0.660	16.144	54999.236	8.867
16585.629	24.793	116.306	569.105	569.678	583.055	0.510	72.386	71.819	7.792	0.644	16.129	55001.616	8.735
16585.838	24.810	116.335	569.697	569.555	582.989	0.537	72.436	71.942	7.837	0.654	16.139	55001.874	8.636
16586.049	24.784	116.391	569.527	569.331	583.246	0.521	72.429	71.905	7.744	0.651	16.154	55000.374	8.576
16586.258	24.793	116.403	569.034	569.256	582.794	0.519	72.467	71.930	7.803	0.641	16.136	55000.470	8.708
16586.468	24.804	116.392	568.645	569.301	583.524	0.521	72.394	71.894	7.707	0.648	16.134	55000.669	8.746
16586.677	24.801	116.448	568.848	569.301	583.356	0.500	72.431	71.885	7.737	0.648	16.135	54997.447	8.834
16586.887	24.812	116.421	568.723	569.257	582.938	0.499	72.415	71.871	7.837	0.654	16.144	54998.149	8.741
16587.087	24.856	116.454	568.912	569.263	583.178	0.503	72.452	71.892	7.766	0.647	16.142	54995.888	8.549
16587.304	24.858	116.439	569.526	569.339	583.806	0.503	72.353	71.853	7.757	0.652	16.157	54994.446	9.097
16587.517	24.832	116.554	570.044	569.425	583.416	0.504	72.448	71.899	7.793	0.642	16.128	54993.988	8.329
16587.722	24.823	116.490	569.664	569.506	583.144	0.512	72.423	71.870	7.710	0.642	16.149	54992.000	8.872
16587.934	24.801	116.481	569.321	569.578	583.175	0.505	72.411	71.898	7.734	0.650	16.137	54991.128	8.730
16588.146	24.807	116.392	569.134	569.582	582.779	0.506	72.361	71.812	7.682	0.646	16.129	54990.825	8.845
16588.346	24.777	116.471	569.124	569.735	583.247	0.498	72.394	71.833	7.734	0.647	16.136	54992.096	8.757
16588.563	24.798	116.517	568.709	569.847	583.157	0.513	72.376	71.860	7.789	0.653	16.144	54991.172	9.064
16588.775	24.792	116.495	569.187	569.814	583.176	0.507	72.471	71.940	7.838	0.657	16.140	54990.418	8.922
16588.982	24.783	116.487	569.657	569.712	583.012	0.507	72.364	71.842	7.780	0.647	16.128	54991.172	8.576
16589.182	24.811	116.569	569.220	569.721	582.955	0.504	72.478	71.879	7.814	0.640	16.144	54990.019	9.070
16589.384	24.806	116.545	569.416	569.835	582.895	0.504	72.426	71.853	7.754	0.646	16.129	54989.494	9.377
16589.590	24.768	116.522	569.260	569.875	583.111	0.511	72.398	71.872	7.764	0.660	16.138	54990.071	8.521
