MiniLab	10-Dec-12	5:26:28 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
16886.731	27.542	153.985	651.822	617.126	619.664	0.871	113.142	112.804	11.795	0.915	22.152	64890.122	22.853
16886.931	27.511	154.000	651.404	617.042	620.276	0.823	113.167	112.860	11.829	0.900	22.131	64894.076	22.420
16887.131	27.507	154.006	651.758	616.776	619.534	0.876	113.138	112.831	11.810	0.905	22.147	64893.913	22.574
16887.331	27.518	153.955	651.672	616.535	620.275	0.906	113.141	112.693	11.873	0.900	22.150	64893.802	23.347
16887.531	27.536	154.018	652.448	616.441	619.973	0.845	113.166	112.860	11.839	0.904	22.139	64898.496	22.793
16887.731	27.593	153.979	651.980	616.506	619.947	0.835	113.060	112.855	11.840	0.905	22.153	64898.414	22.420
16887.931	27.578	153.977	651.970	616.411	620.276	0.797	113.199	112.864	11.810	0.908	22.159	64897.882	22.656
16888.131	27.534	154.005	651.486	616.157	619.712	0.899	113.065	112.808	11.817	0.906	22.140	64900.343	22.804
16888.331	27.589	154.019	651.262	616.063	619.861	0.865	113.227	112.879	11.783	0.891	22.159	64899.279	22.629
16888.531	27.602	154.092	651.131	616.039	620.406	0.881	113.141	112.776	11.764	0.900	22.157	64900.292	22.903
16888.732	27.636	154.120	651.222	616.010	620.029	0.861	113.100	112.756	11.755	0.899	22.145	64900.994	22.645
16888.932	27.686	154.073	650.839	615.991	620.153	0.828	113.260	112.941	11.760	0.908	22.153	64899.419	23.018
16889.139	27.634	154.077	650.516	615.951	619.958	0.862	113.220	112.874	11.908	0.902	22.163	64902.531	22.799
16889.340	27.649	154.077	650.192	615.905	620.087	0.847	113.074	112.753	11.766	0.915	22.139	64902.649	22.996
16889.540	27.673	154.098	650.488	615.844	619.812	0.805	113.083	112.735	11.743	0.909	22.153	64902.745	22.634
16889.740	27.692	154.090	650.247	615.892	620.135	0.874	113.023	112.683	11.751	0.901	22.153	64901.674	22.481
16889.940	27.655	154.062	649.930	615.900	619.562	0.888	112.949	112.600	11.753	0.897	22.141	64902.967	22.426
16890.140	27.663	154.069	650.468	615.910	619.730	0.860	113.076	112.700	11.874	0.916	22.157	64898.459	22.908
16890.344	27.697	154.137	649.995	615.990	619.938	0.852	113.144	112.755	11.773	0.898	22.159	64898.170	22.661
16890.544	27.679	154.066	650.788	616.030	619.517	0.867	113.050	112.694	11.932	0.915	22.137	64898.732	22.612
16890.745	27.667	154.078	650.507	615.996	619.724	0.876	113.075	112.860	11.737	0.888	22.151	64895.776	23.012
16890.947	27.699	154.138	650.876	616.027	620.213	0.858	113.076	112.761	11.762	0.914	22.153	64896.315	22.519
16891.147	27.720	154.171	650.722	616.123	619.677	0.868	113.141	112.828	11.818	0.910	22.143	64894.704	22.634
16891.347	27.738	154.145	650.800	616.299	619.531	0.866	113.123	112.811	11.819	0.914	22.153	64895.465	22.508
16891.547	27.729	154.108	651.337	616.642	620.220	0.842	113.119	112.729	11.867	0.919	22.154	64895.842	23.062
16891.747	27.732	154.172	651.127	616.691	620.042	0.862	113.186	112.822	11.810	0.901	22.143	64895.317	22.552
16891.947	27.699	154.167	651.253	616.823	620.051	0.842	113.096	112.754	11.873	0.905	22.155	64896.958	22.519
16892.147	27.712	154.072	650.847	616.836	619.847	0.876	113.197	112.787	11.790	0.916	22.151	64895.576	22.793
16892.347	27.739	154.189	650.578	616.971	619.878	0.868	113.122	112.801	11.742	0.903	22.138	64896.589	22.415
16892.547	27.732	154.144	651.390	617.165	619.992	0.898	113.023	112.682	11.700	0.911	22.148	64895.724	22.552
16892.748	27.763	154.152	651.275	617.345	620.187	0.880	113.018	112.719	11.851	0.896	22.154	64895.332	22.354
16892.949	27.752	154.191	652.313	617.512	619.513	0.909	113.043	112.663	11.667	0.903	22.145	64896.286	22.212
16893.150	27.778	154.251	652.237	617.623	619.878	0.844	113.025	112.692	11.771	0.892	22.156	64897.675	22.607
16893.351	27.767	154.151	652.221	617.729	619.383	0.856	113.052	112.755	11.600	0.907	22.152	64896.862	22.415
16893.551	27.755	154.236	652.052	617.956	620.351	0.867	113.100	112.742	11.790	0.913	22.141	64897.446	22.349
16893.751	27.763	154.275	652.207	617.952	619.882	0.864	113.049	112.710	11.880	0.910	22.157	64897.417	22.393
16893.952	27.776	154.177	651.863	617.789	619.882	0.915	113.209	112.805	11.919	0.897	22.151	64894.926	22.974
16894.152	27.762	154.230	651.718	617.626	619.712	0.850	113.046	112.775	11.717	0.903	22.149	64897.158	22.130
16894.352	27.753	154.186	650.788	617.532	619.501	0.856	113.082	112.729	11.736	0.899	22.159	64897.572	22.261
16894.552	27.745	154.240	651.149	617.278	619.387	0.850	113.113	112.777	11.835	0.921	22.144	64894.142	22.338
16894.752	27.755	154.132	651.421	617.173	619.722	0.851	113.200	112.893	11.837	0.895	22.144	64895.510	22.470
16894.953	27.694	154.126	651.510	617.067	619.841	0.921	113.223	112.816	11.869	0.915	22.155	64893.654	22.941
16895.154	27.713	154.235	651.193	617.102	619.747	0.904	113.103	112.756	11.850	0.921	22.145	64893.884	22.058
16895.355	27.742	154.166	651.292	617.110	620.312	0.873	113.153	112.750	11.817	0.906	22.141	64892.930	22.640
16895.556	27.737	154.169	650.809	616.992	619.706	0.860	113.121	112.734	11.753	0.905	22.160	64893.691	22.272
16895.757	27.744	154.280	651.352	616.984	619.645	0.850	113.182	112.778	11.875	0.910	22.149	64894.105	22.376
16895.957	27.718	154.208	650.799	616.853	619.842	0.883	113.188	112.828	11.757	0.902	22.143	64895.960	22.415
16896.157	27.768	154.152	650.969	616.828	620.273	0.906	113.209	112.813	11.677	0.899	22.164	64895.724	22.311
16896.357	27.765	154.211	651.486	616.827	619.573	0.863	113.159	112.751	11.772	0.919	22.145	64895.768	22.453
16896.557	27.730	154.135	650.854	616.763	619.804	0.841	113.131	112.762	11.681	0.894	22.145	64895.022	22.184
16896.757	27.722	154.183	650.597	616.865	620.083	0.868	113.109	112.706	11.797	0.918	22.165	64894.807	22.678
16896.958	27.754	154.175	650.680	617.029	620.207	0.894	113.112	112.735	11.763	0.920	22.151	64897.077	23.402
16897.158	27.690	154.151	650.508	617.074	620.169	0.903	113.110	112.759	11.781	0.916	22.144	64896.611	22.245
16897.363	27.745	154.163	651.033	617.033	619.784	0.864	113.027	112.721	11.819	0.908	22.160	64896.448	22.552
16897.563	27.753	154.165	650.965	617.129	619.485	0.866	113.023	112.704	11.824	0.904	22.149	64895.842	22.705
16897.764	27.729	154.137	650.576	617.195	619.760	0.877	113.013	112.599	11.796	0.914	22.146	64896.086	22.163
16897.965	27.752	154.199	651.366	617.379	620.457	0.850	113.097	112.765	11.873	0.909	22.154	64896.352	22.755
16898.166	27.805	154.223	651.642	617.454	619.472	0.837	112.994	112.671	11.912	0.892	22.141	64896.256	22.546
16898.366	27.792	154.202	651.661	617.560	620.058	0.845	113.115	112.795	11.732	0.910	22.157	64896.448	22.420
16898.567	27.809	154.247	651.500	617.858	619.878	0.868	113.166	112.783	11.907	0.897	22.163	64897.298	22.941
16898.767	27.789	154.134	652.161	617.886	619.870	0.890	113.072	112.714	11.712	0.911	22.146	64898.466	22.716
16898.968	27.804	154.253	652.206	617.873	619.871	0.833	112.963	112.724	11.775	0.900	22.148	64895.635	22.409
16899.170	27.845	154.173	652.441	617.870	619.982	0.865	113.047	112.717	11.809	0.900	22.163	64897.609	22.974
16899.371	27.890	154.245	652.824	617.921	620.050	0.859	113.183	112.803	11.794	0.908	22.139	64896.367	22.645
16899.571	27.835	154.267	652.733	617.943	620.190	0.845	113.134	112.748	11.807	0.908	22.145	64896.943	22.667
16899.771	27.846	154.204	653.405	618.027	620.748	0.868	113.058	112.738	11.727	0.906	22.159	64896.633	22.744
16899.973	27.855	154.249	652.894	618.092	619.987	0.864	113.123	112.813	11.775	0.905	22.152	64895.539	22.376
16900.173	27.867	154.239	652.786	618.111	619.790	0.805	113.083	112.744	11.821	0.903	22.147	64893.381	22.629
16900.374	27.887	154.263	653.126	618.120	620.043	0.869	113.031	112.737	11.747	0.906	22.158	64894.926	22.448
16900.575	27.898	154.292	653.232	618.115	619.793	0.833	113.074	112.798	11.836	0.925	22.147	64894.312	22.459
16900.776	27.877	154.279	652.566	617.987	619.808	0.869	113.060	112.709	11.641	0.918	22.142	64894.756	22.206
16900.976	27.878	154.144	652.710	617.953	619.993	0.848	113.120	112.896	11.807	0.908	22.148	64892.841	22.568
16901.176	27.848	154.217	652.494	618.062	619.384	0.901	113.055	112.719	11.817	0.904	22.148	64894.977	22.228
16901.384	27.880	154.220	653.326	618.181	619.877	0.834	113.130	112.800	11.828	0.925	22.155	64896.411	22.179
16901.584	27.920	154.245	653.090	618.244	620.123	0.885	113.144	112.881	11.839	0.916	22.164	64894.423	22.502
16901.785	27.924	154.302	652.782	618.397	619.767	0.835	113.136	112.716	11.600	0.912	22.143	64893.662	22.426
16901.985	27.924	154.298	653.100	618.469	619.814	0.882	113.012	112.668	11.685	0.909	22.144	64895.244	22.799
16902.186	27.918	154.262	652.555	618.446	619.142	0.882	113.052	112.750	11.704	0.918	22.156	64895.687	22.508
16902.387	27.884	154.252	652.377	618.369	619.677	0.899	113.145	112.734	11.762	0.915	22.147	64896.308	22.398
16902.587	27.866	154.198	652.092	618.425	619.883	0.843	113.105	112.817	11.775	0.920	22.146	64893.632	22.431
16902.787	27.876	154.288	652.366	618.679	619.640	0.847	113.048	112.753	11.836	0.914	22.162	64894.660	22.656
16902.987	27.885	154.211	652.314	618.809	620.014	0.845	112.995	112.824	11.684	0.916	22.148	64894.748	22.294
16903.188	27.878	154.275	651.696	618.743	620.000	0.842	113.222	112.872	11.709	0.908	22.149	64894.290	22.524
16903.388	27.865	154.284	652.077	618.648	619.468	0.814	113.113	112.721	11.832	0.904	22.166	64893.484	22.941
16903.588	27.885	154.338	651.873	618.639	619.850	0.838	113.021	112.616	11.716	0.910	22.145	64894.541	22.272
16903.788	27.953	154.357	651.952	618.500	619.477	0.861	113.056	112.690	11.701	0.907	22.142	64897.062	21.856
16903.988	27.909	154.314	651.286	618.282	619.987	0.859	113.150	112.843	11.732	0.913	22.158	64897.180	22.875
16904.188	27.942	154.296	651.781	618.182	620.008	0.857	113.118	112.776	11.835	0.909	22.141	64900.388	22.322
16904.388	27.908	154.345	651.809	618.052	619.760	0.863	113.203	112.848	11.793	0.896	22.143	64906.293	22.568
16904.588	27.955	154.298	650.844	618.040	619.729	0.860	113.168	112.829	11.865	0.906	22.158	64904.652	23.100
16904.788	27.968	154.357	650.913	617.981	619.402	0.859	113.213	112.919	11.735	0.902	22.137	64914.002	22.875
16904.989	27.961	154.381	651.527	617.981	619.929	0.861	113.219	112.834	11.732	0.907	22.148	64915.229	22.875
16905.190	27.946	154.290	651.165	618.070	619.454	0.875	113.239	112.862	11.846	0.897	22.164	64914.808	22.941
16905.391	27.947	154.400	652.260	618.121	619.731	0.881	113.210	112.835	11.943	0.912	22.147	64920.366	22.892
16905.591	27.946	154.378	651.586	617.928	620.038	0.866	113.163	112.821	11.824	0.915	22.157	64920.876	22.672
16905.794	27.961	154.385	651.919	617.782	619.730	0.877	113.230	112.855	11.866	0.902	22.158	64924.275	22.974
16905.994	27.996	154.422	652.127	617.707	619.777	0.876	113.178	112.854	11.802	0.915	22.139	64924.852	23.012
16906.194	27.952	154.367	651.611	617.552	619.505	0.875	113.217	112.857	11.888	0.908	22.151	64926.227	23.018
16906.394	27.996	154.444	651.511	617.383	620.259	0.894	113.217	112.857	12.030	0.909	22.148	64941.016	23.215
16906.594	27.969	154.363	651.787	617.151	619.642	0.814	113.155	112.802	11.912	0.913	22.147	64941.016	22.903
16906.794	27.981	154.339	651.738	617.074	619.827	0.907	113.266	112.914	11.835	0.904	22.154	64942.021	23.281
16906.994	27.992	154.384	652.607	617.052	620.012	0.868	113.223	112.877	11.721	0.902	22.157	64941.585	22.727
16907.194	27.951	154.371	651.897	616.892	619.930	0.849	113.144	112.857	11.633	0.902	22.146	64941.164	23.062
16907.394	27.940	154.335	652.148	616.972	619.847	0.892	113.279	112.892	11.775	0.901	22.150	64941.511	22.853
16907.595	27.967	154.359	651.645	617.037	620.217	0.862	113.171	112.781	11.819	0.893	22.146	64942.066	22.870
16907.800	27.951	154.343	651.554	616.955	620.113	0.913	113.169	112.831	11.852	0.905	22.139	64942.250	23.358
16908.000	27.947	154.303	651.690	616.973	619.756	0.857	113.236	112.843	11.819	0.899	22.156	64940.706	22.727
16908.200	27.936	154.397	651.955	617.034	619.411	0.859	113.227	112.872	11.877	0.915	22.150	64941.541	22.826
16908.400	27.956	154.325	651.862	616.972	619.646	0.880	113.183	112.869	11.816	0.911	22.140	64943.898	22.974
16908.600	27.961	154.366	651.376	616.722	619.597	0.902	113.188	112.829	11.931	0.911	22.159	64945.495	22.859
16908.800	27.991	154.363	651.290	616.378	619.873	0.920	113.296	112.939	11.657	0.905	22.155	64945.761	22.579
16909.000	27.981	154.432	650.936	616.133	619.130	0.846	113.193	112.827	11.817	0.900	22.148	64945.539	23.259
16909.200	27.971	154.379	650.633	616.065	619.835	0.891	113.162	112.817	11.878	0.909	22.151	64943.817	22.766
16909.400	28.009	154.401	651.198	616.059	619.224	0.827	113.193	112.845	11.866	0.904	22.160	64943.758	22.892
16909.600	28.030	154.456	651.469	616.133	619.462	0.931	113.057	112.752	11.700	0.905	22.153	64945.554	23.051
16909.800	28.005	154.356	650.241	616.178	619.450	0.879	113.194	112.852	11.662	0.895	22.160	64944.763	22.936
16910.000	28.004	154.441	651.063	616.498	619.050	0.892	113.202	112.821	11.824	0.901	22.152	64947.587	22.941
16910.200	28.015	154.429	650.638	616.651	619.405	0.833	113.196	112.845	11.794	0.895	22.143	64947.468	22.952
16910.400	28.049	154.410	650.861	616.721	619.409	0.875	113.155	112.825	11.740	0.903	22.154	64947.490	23.182
16910.600	28.060	154.463	650.577	616.647	619.602	0.895	113.162	112.776	11.835	0.904	22.163	64947.454	23.254
16910.803	28.026	154.404	650.752	616.584	619.250	0.877	113.119	112.860	11.858	0.909	22.140	64946.981	22.716
16911.003	28.039	154.339	650.821	616.430	619.985	0.860	113.194	112.836	11.748	0.894	22.156	64946.744	23.084
16911.217	28.030	154.470	651.274	616.549	619.566	0.892	113.243	112.862	11.869	0.905	22.159	64949.663	23.221
16911.417	28.049	154.433	650.594	616.633	619.835	0.873	113.209	112.847	11.894	0.915	22.140	64948.340	23.330
16911.617	28.016	154.418	650.897	616.576	619.543	0.864	113.151	112.805	11.672	0.898	22.153	64945.391	23.424
16911.818	28.003	154.372	650.442	616.458	619.104	0.878	113.160	112.820	11.868	0.909	22.158	64943.743	23.034
16912.019	28.048	154.441	650.429	616.449	620.076	0.865	113.162	112.775	11.857	0.907	22.142	64944.978	23.330
16912.219	28.018	154.359	650.236	616.364	619.562	0.856	113.182	112.807	11.802	0.889	22.154	64945.510	22.585
16912.419	28.036	154.458	650.668	616.311	618.934	0.866	113.148	112.875	11.940	0.897	22.154	64943.219	23.254
16912.619	28.047	154.407	650.306	616.270	619.660	0.834	113.120	112.787	11.819	0.895	22.138	64943.655	23.270
16912.819	28.067	154.474	650.595	616.117	619.507	0.851	113.198	112.862	11.792	0.902	22.156	64945.724	23.210
16913.019	28.061	154.432	650.315	616.050	619.217	0.854	113.343	112.960	11.840	0.899	22.155	64944.615	23.128
16913.219	28.046	154.441	650.324	615.888	619.323	0.838	113.181	112.831	11.760	0.896	22.141	64947.306	23.478
16913.419	28.050	154.440	650.699	615.756	619.522	0.841	113.286	112.910	11.879	0.898	22.153	64948.340	23.402
16913.619	28.079	154.413	650.861	615.736	618.975	0.859	113.288	112.887	11.801	0.895	22.153	64948.067	22.985
16913.819	28.068	154.433	650.982	615.778	618.900	0.864	113.284	112.913	11.735	0.905	22.144	64948.008	23.319
16914.019	28.063	154.396	650.823	615.927	619.406	0.816	113.170	112.830	11.698	0.906	22.157	64947.269	23.478
16914.219	28.047	154.501	651.582	616.078	619.322	0.869	113.267	112.915	11.809	0.899	22.150	64945.938	23.171
16914.419	28.085	154.532	651.650	616.189	619.250	0.873	113.230	112.866	11.901	0.895	22.140	64946.153	23.681
16914.620	28.069	154.446	651.139	616.174	619.055	0.830	113.205	112.865	11.712	0.899	22.156	64947.099	23.308
16914.820	28.058	154.444	650.869	616.330	618.932	0.846	113.178	112.762	11.751	0.903	22.157	64946.729	22.716
16915.020	28.079	154.490	651.262	616.449	619.480	0.895	113.142	112.808	11.834	0.902	22.141	64946.278	23.177
16915.220	28.055	154.517	651.330	616.584	619.249	0.846	113.149	112.741	11.676	0.898	22.158	64943.012	23.369
16915.420	28.094	154.454	651.560	616.689	619.028	0.872	113.106	112.786	11.745	0.905	22.154	64944.741	23.259
16915.620	28.088	154.454	651.486	616.798	619.402	0.868	113.084	112.778	11.810	0.903	22.138	64943.913	23.566
16915.819	28.082	154.537	650.589	616.829	619.059	0.883	113.208	112.806	11.888	0.900	22.152	64941.533	22.842
